id,title,budget_clean,revenue_clean,roi
17277,The Fall of the Roman Empire,19000000,4750000,0.25
14574,The Boy in the Striped Pyjamas,12500000,20416563,1.63332504
190859,American Sniper,58800000,542307423,9.222915357
279641,Whiskey Tango Foxtrot,35000000,23083334,0.659523829
1966,Alexander,155000000,167298192,1.079343174
9665,Glory,18000000,26828365,1.490464722
15979,Phoonk,750000,2760000,3.68
139948,Burn,225000,111300,0.494666667
15691,Doctor Who,5000000,42000000,8.4
24961,The Wiz,24000000,21049053,0.877043875
2493,The Princess Bride,16000000,30857814,1.928613375
13836,Race to Witch Mountain,50000000,106303988,2.12607976
267935,The BFG,140000000,183345589,1.30961135
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,1.865117391
294272,Pete's Dragon,65000000,143695338,2.210697508
13600,City of Ember,55000000,17869048,0.324891782
89868,Paws,137731,1778391,12.91206047
630,The Wizard of Oz,2777000,33754967,12.15519157
13597,Labyrinth,25000000,12729917,0.50919668
266647,Pan,150000000,128388320,0.855922133
2309,Inkheart,60000000,57490374,0.9581729
259316,Fantastic Beasts and Where to Find Them,180000000,809342332,4.496346289
76285,Percy Jackson: Sea of Monsters,90000000,174578751,1.9397639
8204,The Spiderwick Chronicles,90000000,162839667,1.809329633
13155,Return to Oz,25000000,11137801,0.44551204
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,2.681846561
177572,Big Hero 6,165000000,652105443,3.9521542
9570,The Black Hole,20000000,35841901,1.79209505
14199,The Adventures of Sharkboy and Lavagirl,50000000,69425966,1.38851932
2157,Lost in Space,80000000,136159423,1.701992788
158852,Tomorrowland,190000000,209154322,1.100812221
36355,Flipper,25530000,20080020,0.786526439
2270,Stardust,70000000,135560026,1.9365718
675,Harry Potter and the Order of the Phoenix,150000000,938212738,6.254751587
672,Harry Potter and the Chamber of Secrets,100000000,876688482,8.76688482
10323,Clash of the Titans,15000000,41092328,2.739488533
673,Harry Potter and the Prisoner of Azkaban,130000000,789804554,6.075419646
12444,Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,3.817223472
671,Harry Potter and the Philosopher's Stone,125000000,976475550,7.8118044
767,Harry Potter and the Half-Blood Prince,250000000,933959197,3.735836788
10601,Peter Pan,100000000,121975011,1.21975011
32657,Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,2.384181147
16690,Return to Never Land,20000000,109862682,5.4931341
9992,Arthur and the Invisibles,86000000,107944236,1.255165535
11052,Yu-Gi-Oh! The Movie,20000000,29170410,1.4585205
23685,Monkeybone,75000000,5409517,0.072126893
12335,Bedknobs and Broomsticks,20000000,17900000,0.895
50620,The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,6.908333333
24021,The Twilight Saga: Eclipse,68000000,698491347,10.27193157
8966,Twilight,37000000,392616625,10.61126014
6116,Spice World,25000000,100000000,4
62764,Mirror Mirror,85000000,183018522,2.153159082
18032,The Secret of Moonacre,12000000,7070330,0.589194167
587,Big Fish,70000000,122919055,1.7559865
58595,Snow White and the Huntsman,170000000,396600000,2.332941176
9543,Prince of Persia: The Sands of Time,150000000,335154643,2.234364287
18360,Night at the Museum: Battle of the Smithsonian,150000000,413106170,2.754041133
9593,Last Action Hero,85000000,137298489,1.615276341
9824,Mystery Men,68000000,29762011,0.437676632
8850,The Shadow,25000000,48063435,1.9225374
1995,Lara Croft: Tomb Raider,115000000,274703340,2.388724696
24418,Cirque du Freak: The Vampire's Assistant,40000000,28169671,0.704241775
9651,Supergirl,35000000,14296438,0.408469657
285,Pirates of the Caribbean: At World's End,300000000,961000000,3.203333333
18823,Clash of the Titans,125000000,232713139,1.861705112
9387,Conan the Barbarian,20000000,79114085,3.95570425
121,The Lord of the Rings: The Two Towers,79000000,926287400,11.72515696
37430,Conan the Barbarian,90000000,48795021,0.5421669
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,4.6786516
122,The Lord of the Rings: The Return of the King,94000000,1118888979,11.90307424
9610,Conan the Destroyer,18000000,100000000,5.555555556
10195,Thor,150000000,449326618,2.995510787
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,9.369552301
49051,The Hobbit: An Unexpected Journey,250000000,1021103568,4.084414272
9626,Red Sonja,17900000,6948633,0.388191788
879,Hook,70000000,300854823,4.297926043
15138,Little Monsters,7000000,793775,0.113396429
8247,Jumper,85000000,222231186,2.614484541
11253,Hellboy II: The Golden Army,85000000,160388063,1.886918388
68737,Seventh Son,95000000,114178613,1.201880137
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,3.8336
9016,Treasure Planet,140000000,109578115,0.782700821
10386,The Iron Giant,70000000,23159305,0.330847214
5255,The Polar Express,165000000,305875730,1.853792303
278154,Ice Age: Collision Course,105000000,408579038,3.891228933
9502,Kung Fu Panda,130000000,631744560,4.859573538
32147,Starchaser: The Legend of Orin,15000000,3360800,0.224053333
10539,James and the Giant Peach,38000000,28921264,0.761085895
105864,The Good Dinosaur,175000000,331926147,1.89672084
136799,Trolls,125000000,346864462,2.774915696
7484,Open Season,85000000,197309027,2.321282671
277834,Moana,150000000,643034466,4.28689644
50321,Mars Needs Moms,150000000,38992758,0.25995172
10199,The Tale of Despereaux,60000000,50877145,0.847952417
309809,The Little Prince,64000000,97571250,1.524550781
10948,The Fox and the Hound,12000000,29800000,2.483333333
37135,Tarzan,150000000,448000000,2.986666667
10530,Pocahontas,55000000,346079773,6.292359509
11837,Watership Down,1000000,3713768,3.713768
12610,Osmosis Jones,75000000,13596911,0.181292147
333667,Rock Dog,60000000,9420546,0.1570091
809,Shrek 2,150000000,919838758,6.132258387
808,Shrek,60000000,484409218,8.073486967
49519,The Croods,135000000,585178928,4.334658726
137106,The Lego Movie,60000000,469160692,7.819344867
11688,The Emperor's New Groove,100000000,169327687,1.69327687
10315,Fantastic Mr. Fox,40000000,46471023,1.161775575
10501,The Road to El Dorado,95000000,76432727,0.804555021
9975,Curious George,50000000,69834815,1.3966963
9487,A Bug's Life,120000000,363258859,3.027157158
276905,Norm of the North,18000000,17062499,0.947916611
332210,Storks,70000000,182379278,2.605418257
11619,Flushed Away,149000000,64459316,0.432612859
533,The Curse of the Were-Rabbit,30000000,192452832,6.4150944
8916,Antz,60000000,171757863,2.86263105
127380,Finding Dory,200000000,1028570889,5.142854445
12230,One Hundred and One Dalmatians,4000000,215880014,53.9700035
1273,TMNT,34000000,95608995,2.812029265
223702,Sausage Party,19000000,140705322,7.405543263
17578,The Adventures of Tintin,130000000,371940071,2.861077469
9476,A Knight's Tale,65000000,117487473,1.807499585
11259,Far and Away,60000000,137783840,2.296397333
274870,Passengers,110000000,303144152,2.755855927
55604,Boom Town,2000000,9172000,4.586
78698,Big Miracle,40000000,24719215,0.617980375
157841,The Young and Prodigious T.S. Spivet,33000000,9494789,0.287720879
44826,Hugo,170000000,185770160,1.092765647
272878,Max,20000000,43967255,2.19836275
1265,Bridge to Terabithia,60000000,137587063,2.293117717
9036,Eight Below,40000000,120455994,3.01139985
652,Troy,175000000,497409852,2.842342011
9952,Rescue Dawn,10000000,7177143,0.7177143
526,Ladyhawke,20000000,18432000,0.9216
14499,Mio in the Land of Faraway,7200000,2300000,0.319444444
27418,Next of Kin,12000000,15942628,1.328552333
11358,Walking Tall,56000000,57223890,1.021855179
30266,"20,000 Leagues Under the Sea",200000,8000000,40
271969,Ben-Hur,100000000,94061311,0.94061311
254,King Kong,207000000,550000000,2.657004831
147441,Exodus: Gods and Kings,140000000,268031828,1.914513057
847,Willow,35000000,57269863,1.6362818
1878,Fear and Loathing in Las Vegas,18500000,10680275,0.577312162
11646,Gallipoli,3000000,11740000,3.913333333
12701,Revolution,28000000,358574,0.012806214
26428,Agora,70000000,39041505,0.557735786
169881,The Physician,32000000,57284237,1.790132406
978,Seven Years in Tibet,70000000,131457682,1.877966886
581,Dances with Wolves,22000000,424208848,19.28222036
62676,Limbo,8000000,1997807,0.249725875
44115,127 Hours,18000000,35692920,1.98294
157336,Interstellar,165000000,675120017,4.091636467
173,"20,000 Leagues Under the Sea",5000000,28200000,5.64
